id,name,party,partyLabel,votes,election,electionLabel,ranking
Q19958052,James Heappey,Q9626,Conservative Party (UK),33336,Q30173038,General election 2019,1
Q578772,Tessa Munt,Q9624,Liberal Democrats (UK),23345,Q30173038,General election 2019,2
,Kama McKenzie,Q9630,Labour Party (UK),4304,Q30173038,General election 2019,3
,Dave Dobbs,Q327591,Independent politician,373,Q30173038,General election 2019,4
,Susie Quatermass,,,270,Q30173038,General election 2019,5
Q19958052,James Heappey,Q9626,Conservative Party (UK),30488,Q25052149,General election 2017,1
Q578772,Tessa Munt,Q9624,Liberal Democrats (UK),22906,Q25052149,General election 2017,2
,Andy Merryfield,Q9630,Labour Party (UK),7129,Q25052149,General election 2017,3
,Lorna Corke,Q5110023,Christian Peoples Alliance,320,Q25052149,General election 2017,4
Q19958052,James Heappey,Q9626,Conservative Party (UK),26247,Q3586935,General election 2015,1
Q578772,Tessa Munt,Q9624,Liberal Democrats (UK),18662,Q3586935,General election 2015,2
,Helen Hims,Q10647,UK Independence Party,5644,Q3586935,General election 2015,3
,Chris Inchley,Q9630,Labour Party (UK),3780,Q3586935,General election 2015,4
,Jon Cousins,Q9669,Green Party of England and Wales,2331,Q3586935,General election 2015,5
,Paul Arnold,Q327591,Independent politician,83,Q3586935,General election 2015,6
,Dave Dobbs,,,81,Q3586935,General election 2015,7
,Gypsy Watkins,Q327591,Independent (politician),76,Q3586935,General election 2015,8
Q578772,Tessa Munt,Q9624,Liberal Democrats (UK),24560,Q215622,General election 2010,1
Q333039,David Heathcoat-Amory,Q9626,Conservative Party (UK),23760,Q215622,General election 2010,2
,Andy Merryfield,Q9630,Labour Party (UK),4198,Q215622,General election 2010,3
,Jake Baynes,Q10647,United Kingdom Independence Party,1711,Q215622,General election 2010,4
,Richard Boyce,Q161269,British National Party,1004,Q215622,General election 2010,5
,Chris Briton,Q9669,Green Party of England and Wales,631,Q215622,General election 2010,6
Q333039,David Heathcoat-Amory,Q9626,Conservative Party (UK),23071,Q428598,General election 2005,1
